"user_id","event_code","female_user","age","skills","total_bookmarks","total_bookmark_folders","maximum_depth_bookmark_folders"
4065,8,"1","2","8",47,31,2
17186,8,"1","2","8",34,6,1
20552,8,"1","2","10",68,5,1
8074,8,"1","2","10",60,18,1
21259,8,"1","1","10",12,2,1
10588,8,"1","2","8",68,9,1
26870,8,"1","1","9",6,0,0
3788,8,"1","1","9",67,3,1
15639,8,"1","1","8",55,3,1
24540,8,"1","1","10",25,1,1
7266,8,"1","2","8",71,7,1
8847,8,"1","3","8",120,18,5
6553,8,"1","2","8",340,18,2
7930,8,"1","3","8",471,34,3
12977,8,"1","1","8",154,16,3
906,8,"1","1","9",31,2,1
16123,8,"1","3","9",113,9,1
15639,8,"1","1","8",54,3,1
23210,8,"1","3","8",28,2,1
23269,8,"1","2","10",979,96,4
17579,8,"1","2","8",296,19,2
25441,8,"1","1","8",14,1,1
11447,8,"1","2","10",13,2,1
17649,8,"1","2","10",68,5,1
7207,8,"1","1","10",62,5,1
26523,8,"1","1","9",19,4,1
14485,8,"1","3","10",22,2,1
5252,8,"1","2","9",616,50,2
23188,8,"1","3","8",110,4,1
13812,8,"1","1","9",37,2,1
